      	                main	11/11/2015 09:58:50:900000	Grabbed new frame successfully
      	                main	11/11/2015 09:58:50:910000	Image inverted
      	         grab_single	11/11/2015 09:58:50:910000	Entering grab_single
      	         grab_single	11/11/2015 09:58:50:910000	Start aquire
      	         grab_single	11/11/2015 09:58:50:910000	Started capturing frames
      	         grab_single	11/11/2015 09:58:50:910000	Waiting for image (10 miliseconds)
      	         grab_single	11/11/2015 09:58:50:910000	Image retrived
      	         grab_single	11/11/2015 09:58:50:910000	Checking DMA length
      	         grab_single	11/11/2015 09:58:50:910000	DMA length is OK.
      	         grab_single	11/11/2015 09:58:50:910000	Getting frame buffer address
      	         grab_single	11/11/2015 09:58:50:910000	Frame buffer address was successfully retrieved
      	         grab_single	11/11/2015 09:58:50:910000	Stopping frame aquisition
      	         grab_single	11/11/2015 09:58:50:910000	Stopped frame aquisition
      	         grab_single	11/11/2015 09:58:50:910000	Getting actual image size
      	         grab_single	11/11/2015 09:58:50:910000	Got frame size (2560x2160) from grabber.
      	         grab_single	11/11/2015 09:58:50:910000	Allocatting 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:50:910000	Allocated 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:50:910000	Extracting image from grabber into buffer (Unverifiable)
      	         grab_single	11/11/2015 09:58:50:910000	Retrieving timestamp from frame (Unverifiable)
      	         grab_single	11/11/2015 09:58:50:910000	Image (timestamp img_nr 55151309) successfully extracted from frame grabber

      	         grab_single	11/11/2015 09:58:50:910000	Leaving grab_single
      	                main	11/11/2015 09:58:50:910000	Grabbed new frame successfully
      	                main	11/11/2015 09:58:50:910000	Image inverted
      	         grab_single	11/11/2015 09:58:50:910000	Entering grab_single
      	         grab_single	11/11/2015 09:58:50:910000	Start aquire
      	         grab_single	11/11/2015 09:58:50:910000	Started capturing frames
      	         grab_single	11/11/2015 09:58:50:910000	Waiting for image (10 miliseconds)
      	         grab_single	11/11/2015 09:58:50:910000	Image retrived
      	         grab_single	11/11/2015 09:58:50:910000	Checking DMA length
      	         grab_single	11/11/2015 09:58:50:910000	DMA length is OK.
      	         grab_single	11/11/2015 09:58:50:910000	Getting frame buffer address
      	         grab_single	11/11/2015 09:58:50:910000	Frame buffer address was successfully retrieved
      	         grab_single	11/11/2015 09:58:50:910000	Stopping frame aquisition
      	         grab_single	11/11/2015 09:58:50:910000	Stopped frame aquisition
      	         grab_single	11/11/2015 09:58:50:910000	Getting actual image size
      	         grab_single	11/11/2015 09:58:50:910000	Got frame size (2560x2160) from grabber.
      	         grab_single	11/11/2015 09:58:50:910000	Allocatting 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:50:910000	Allocated 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:50:910000	Extracting image from grabber into buffer (Unverifiable)
      	         grab_single	11/11/2015 09:58:50:920000	Retrieving timestamp from frame (Unverifiable)
      	         grab_single	11/11/2015 09:58:50:920000	Image (timestamp img_nr 21233515) successfully extracted from frame grabber

      	         grab_single	11/11/2015 09:58:50:920000	Leaving grab_single
      	                main	11/11/2015 09:58:50:920000	Grabbed new frame successfully
      	                main	11/11/2015 09:58:50:920000	Image inverted
      	         grab_single	11/11/2015 09:58:50:920000	Entering grab_single
      	         grab_single	11/11/2015 09:58:50:920000	Start aquire
      	         grab_single	11/11/2015 09:58:50:920000	Started capturing frames
      	         grab_single	11/11/2015 09:58:50:920000	Waiting for image (10 miliseconds)
      	         grab_single	11/11/2015 09:58:51:920000	Image retrived
      	         grab_single	11/11/2015 09:58:51:920000	Checking DMA length
      	         grab_single	11/11/2015 09:58:51:920000	DMA length is OK.
      	         grab_single	11/11/2015 09:58:51:920000	Getting frame buffer address
      	         grab_single	11/11/2015 09:58:51:920000	Frame buffer address was successfully retrieved
      	         grab_single	11/11/2015 09:58:51:920000	Stopping frame aquisition
      	         grab_single	11/11/2015 09:58:51:920000	Stopped frame aquisition
      	         grab_single	11/11/2015 09:58:51:920000	Getting actual image size
      	         grab_single	11/11/2015 09:58:51:920000	Got frame size (2560x2160) from grabber.
      	         grab_single	11/11/2015 09:58:51:920000	Allocatting 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:51:920000	Allocated 2560x2160x2 bytes buffer for image.
